id_prkapita,id_kab_kota,pengeluaran_2010,pengeluaran_2011,pengeluaran_2012,pengeluaran_2013,pengeluaran_2014,pengeluaran_2015,pengeluaran_2016,pengeluaran_2017,pengeluaran_2018,pengeluaran_2019,pengeluaran_2020,pengeluaran_2021,pengeluaran_2022,pengeluaran_2023,pengeluaran_2024
PRKAPITA343,343,9557,9896,10426,10562,10632,10753,10862,10925,11209,11318,11207,11310,11703,12198,12595
PRKAPITA344,344,10094,10231,10355,10465,10536,10645,10777,11065,11579,11731,11530,11720,12191,12480,12929
PRKAPITA345,345,11753,11844,11921,11984,12004,12185,12311,12366,12571,12681,12603,12707,12871,13301,13683
PRKAPITA346,346,8540,8656,8758,8846,8936,9062,9226,9535,9780,9952,9805,9868,10230,10750,11168
PRKAPITA347,347,10563,10665,10752,10825,10839,10905,11237,11411,11847,12088,11841,11952,12247,12776,13163
PRKAPITA348,348,10464,10696,10867,11006,11077,11161,11623,11890,12535,12835,12672,12736,13157,13743,14150
PRKAPITA349,349,10456,10634,10802,10960,11040,11142,11527,11635,12138,12257,12153,12280,12448,12782,13176
PRKAPITA350,350,7782,7891,7986,8067,8164,8298,8668,9100,9567,9772,9527,9644,10132,10491,10981
PRKAPITA351,351,9469,9632,9781,9918,10088,10171,10620,10977,11227,11476,11283,11470,11914,12507,13097
PRKAPITA352,352,10602,10611,10619,10628,10697,10781,11006,11244,11710,12025,11718,11844,12217,12516,13026
PRKAPITA353,353,10541,10556,10571,10586,10617,10736,10953,11186,11442,11557,11452,11500,11659,11888,12325
PRKAPITA354,354,12179,12265,12336,12393,12501,12834,13417,13899,14256,14547,14306,14432,14770,15280,15714
PRKAPITA355,355,11953,12074,12180,12273,12376,12467,12879,13279,13590,13949,13675,13789,14136,14524,14927
PRKAPITA356,356,9004,9139,9150,9628,9706,9900,10171,10280,10605,10767,10344,10673,11181,11651,12181
PRKAPITA357,357,8632,8746,8801,9228,9262,9380,9492,9532,9849,10338,9712,10062,10740,11291,11903
PRKAPITA358,358,9063,9263,9281,9866,9984,10250,10593,10692,10959,11152,10720,11048,11677,12323,12957
PRKAPITA359,359,8652,8801,9049,9297,9484,9704,9960,10273,10614,11196,10485,10868,11322,11961,12490
PRKAPITA360,360,10913,11002,11188,11375,11471,11572,11675,11843,12207,12726,12018,12435,13095,13620,14101
PRKAPITA361,361,9874,10069,10199,10773,10807,10913,11019,11126,11492,11750,11231,11651,11890,12517,13100
PRKAPITA363,363,12813,12922,13127,13333,13439,13705,13883,14254,14557,14791,14549,14862,15455,16195,16854
PRKAPITA364,364,13061,13128,13292,13455,13538,13825,14010,14175,14466,14613,14135,14582,15162,15610,16160
PRKAPITA365,365,15096,15271,15318,15820,15878,15980,16157,16271,16698,16843,16278,16765,17327,17659,18394
PRKAPITA366,366,8928,8969,9135,9301,9343,9415,9529,9586,9853,10121,9611,9928,10304,10708,11190
PRKAPITA367,367,8467,8501,8534,8817,8852,8877,8933,9094,9310,9648,9121,9423,9641,10205,10581
PRKAPITA368,368,6128,6197,6391,6585,6696,6807,6919,7207,7511,7981,7381,7676,8012,8386,8707
PRKAPITA369,369,5663,5689,5716,5991,6105,6199,6333,6680,6956,7290,6804,7064,7446,7787,8265
PRKAPITA370,370,10010,10073,10354,10449,10581,10642,10715,10841,11153,11509,10894,11261,11596,11992,12451
PRKAPITA371,371,8510,8647,8928,9047,9107,9369,9657,9761,10054,10470,10128,10220,10614,10915,11507
PRKAPITA372,372,10553,10737,11067,11235,11320,11405,11827,12026,12319,12720,12395,12481,12690,13027,13681
PRKAPITA373,373,9460,9772,10163,10385,10460,10536,10959,11111,11397,11663,11427,11524,11631,11946,12409
PRKAPITA374,374,7130,7312,7641,7808,7907,8008,8184,8268,8525,8638,8505,8558,8869,9146,9512
PRKAPITA375,375,9468,9740,10183,10425,10549,10674,11133,11162,11410,11760,11481,11554,11717,12090,12529
PRKAPITA376,376,9679,9827,10129,10269,10339,10410,10789,11075,11318,11712,11405,11481,11593,11958,12412
PRKAPITA377,377,7376,7592,7896,8052,8131,8212,8593,8739,8992,9366,9062,9143,9285,9652,10170
PRKAPITA378,378,6624,6821,7166,7349,7442,7537,7742,7812,8097,8252,8080,8145,8401,8742,9062
PRKAPITA379,379,8960,9088,9362,9472,9528,9679,10002,10105,10354,10665,10408,10479,10753,11034,11511
PRKAPITA380,380,7598,7731,8009,8125,8183,8242,8371,8452,8743,9229,8837,8939,9238,9593,10114
PRKAPITA381,381,7368,7505,7787,7905,7965,8025,8361,8568,8856,9483,8998,9115,9390,9741,10191
PRKAPITA382,382,12282,12332,12631,12767,12904,12933,13253,13477,13814,14232,13886,13991,14399,14822,15301
PRKAPITA383,383,10711,10843,11120,11233,11348,11513,11718,11895,12168,12383,12193,12271,12665,12954,13539
PRKAPITA384,384,9620,9792,10110,10265,10367,10469,10936,11323,11647,12152,11745,11851,12268,12488,13045
PRKAPITA385,385,8798,8956,9261,9402,9546,9743,10084,10366,10663,11098,10744,10848,11151,11452,12074
PRKAPITA386,386,6535,6581,6745,6975,7038,7161,7286,7440,7545,7619,7429,7453,7712,8066,8375
PRKAPITA387,387,8245,8287,8447,8674,8718,8895,9144,9516,9712,9842,9554,9603,9963,10400,10772
PRKAPITA388,388,9350,9480,9707,9989,10059,10245,10575,11012,11159,11277,10993,11028,11291,11708,12281
PRKAPITA389,389,7012,7161,7430,7768,7869,7971,8345,8781,8936,9084,8808,8850,9218,9622,9948
PRKAPITA390,390,6596,6645,6811,7184,7237,7407,7802,7924,8106,8189,7960,8002,8303,8766,9117
PRKAPITA391,391,6224,6335,6565,6863,6959,7156,7493,7916,8017,8156,7917,7947,8191,8665,8918
PRKAPITA392,392,6892,6979,7067,7338,7431,7475,7740,7934,8079,8151,7942,7974,8176,8678,9051
PRKAPITA393,393,8190,8246,8421,8663,8723,9150,9351,9488,9808,9878,9641,9675,10063,10471,10846
PRKAPITA394,394,6385,6487,6709,6998,7111,7171,7361,7465,7608,7765,7606,7621,8096,8550,8863
PRKAPITA395,395,6303,6477,6773,7140,7238,7376,7714,8113,8236,8375,8126,8171,8498,8891,9254
PRKAPITA398,398,13954,13963,14090,14283,14413,14545,14663,14871,15074,15205,14839,14894,15162,15501,15941
PRKAPITA399,399,7311,7423,7506,7564,7656,7793,8123,8436,8666,9028,8970,9060,9446,9830,10235
PRKAPITA400,400,9022,9127,9136,9145,9618,9777,10040,10217,10331,10480,10513,10632,10941,11392,11807
PRKAPITA401,401,9822,9984,10117,10226,10294,10467,10596,10751,11153,11592,11632,11829,12133,12304,12719
PRKAPITA402,402,8138,8237,8305,8348,8417,8489,8559,8747,8957,9078,9114,9215,9425,9781,10158
PRKAPITA403,403,8858,9026,9165,9280,9351,9423,9759,9845,10134,10474,10454,10543,10746,11239,11679
PRKAPITA404,404,8270,8361,8420,8455,8515,8578,8717,9009,9179,9369,9394,9504,9812,10233,10700
PRKAPITA405,405,7794,7957,8092,8203,8272,8433,8706,8816,9098,9465,9439,9505,9726,10180,10665
PRKAPITA406,406,8920,9069,9155,9258,9355,9468,9758,10121,10558,10981,10963,11032,11403,11795,12209
PRKAPITA407,407,9754,9892,10058,10090,10161,10517,10670,10837,11197,11392,11405,11519,11817,12241,12643
PRKAPITA408,408,9121,9325,9501,9655,9733,9811,10155,10285,10622,10911,10923,11017,11275,11712,12058
PRKAPITA409,409,7518,7635,7722,7785,7845,7930,8275,8470,8686,8954,8963,9030,9277,9682,10084
PRKAPITA410,410,8186,8351,8489,8603,8699,8835,8965,9035,9291,9444,9483,9558,9756,10098,10547
PRKAPITA411,411,10364,10506,10618,10705,10778,11047,11681,11770,12057,12399,12386,12505,12729,13192,13608
PRKAPITA412,412,10318,10380,10398,10416,10434,11004,11368,11523,11834,12039,12073,12201,12379,12739,13209
PRKAPITA413,413,10253,10398,10514,10605,10680,10791,10899,11279,11508,11828,11844,11956,12102,12559,13010
PRKAPITA414,414,8959,9084,9179,9250,9347,9818,10188,10359,10683,10800,10844,10973,11183,11636,12138
PRKAPITA415,415,8454,8560,8636,8687,8764,9160,9301,9381,9705,10085,10014,10116,10308,10691,11121
PRKAPITA416,416,5978,6066,6124,6156,6214,6273,6509,6801,7087,7253,7217,7434,7584,8017,8319
PRKAPITA417,417,10250,10375,10471,10541,10605,10697,10786,11101,11429,11583,11562,11736,12105,12513,12866
PRKAPITA418,418,11754,11813,11828,11844,11859,11926,11960,12030,12346,12802,12814,12886,13058,13451,13867
